Word: you	Counts: 40
Word: happy	Counts: 35
Word: if	Counts: 24
Word: along	Counts: 24
Word: clap	Counts: 24
Word: i'm	Counts: 20
Word: because	Counts: 19
Word: like	Counts: 19
Word: feel	Counts: 18
Word: a	Counts: 14
Word: me	Counts: 13
Word: what	Counts: 13
Word: bring	Counts: 12
Word: down	Counts: 12
Word: is	Counts: 12
Word: happiness	Counts: 12
Word: to	Counts: 12
Word: the	Counts: 8
Word: do	Counts: 6
Word: without	Counts: 6
Word: nothing	Counts: 6
Word: wanna	Counts: 6
Word: know	Counts: 6
Word: that's	Counts: 6
Word: can't	Counts: 6
Word: roof	Counts: 6
Word: i	Counts: 6
Word: room	Counts: 6
Word: truth	Counts: 6
Word: don't	Counts: 3
Word: yeah	Counts: 3
Word: high	Counts: 3
Word: level's	Counts: 3
Word: my	Counts: 3
Word: ayy	Counts: 3
Word: too	Counts: 3
Word: said	Counts: 3
Word: that	Counts: 2
Word: uh	Counts: 2
Word: come	Counts: 2
Word: here	Counts: 2
Word: air	Counts: 2
Word: well	Counts: 2
Word: 'bout	Counts: 1
Word: bad	Counts: 1
Word: sunshine	Counts: 1
Word: your	Counts: 1
Word: got	Counts: 1
Word: space	Counts: 1
Word: hold	Counts: 1
Word: offence	Counts: 1
Word: fine	Counts: 1
Word: should	Counts: 1
Word: hey	Counts: 1
Word: all	Counts: 1
Word: waste	Counts: 1
Word: here's	Counts: 1
Word: give	Counts: 1
Word: might	Counts: 1
Word: this	Counts: 1
Word: it	Counts: 1
Word: am	Counts: 1
Word: take	Counts: 1
Word: warn	Counts: 1
Word: crazy	Counts: 1
Word: care	Counts: 1
Word: no	Counts: 1
Word: be	Counts: 1
Word: probably	Counts: 1
Word: back	Counts: 1
Word: why	Counts: 1
Word: talking	Counts: 1
Word: hot	Counts: 1
Word: seem	Counts: 1
Word: can	Counts: 1
Word: and	Counts: 1
Word: by	Counts: 1
Word: she's	Counts: 1
Word: just	Counts: 1
Word: on	Counts: 1
Word: news	Counts: 1
Word: balloon	Counts: 1
Word: break	Counts: 1
Word: could	Counts: 1
Word: go	Counts: 1
Word: say	Counts: 1
Word: way	Counts: 1
Word: i'll	Counts: 1
Word: with	Counts: 1
Word: baby	Counts: 1
Word: huh	Counts: 1
Word: time	Counts: 1
